"","Layer.1","Layer.2","Layer.3","Layer.4","MSE","User.Time","CPU.Time","Reutilized"
"4765",18,22,22,24,0.162917773658066,0.0799999999999983,0,0
"10376",22,18,22,20,0.162922030667357,0.0600000000000023,0,0
"4766",18,23,15,17,0.162926477090453,0.0600000000000023,0,0
"9086",21,17,18,25,0.162927709182613,0.0600000000000023,0,0
"13422",24,23,20,24,0.16292910938272,0.0700000000000074,0,0
"7659",20,16,15,22,0.162930112024074,0.0399999999999991,0,0
"14844",25,25,24,24,0.162936332797464,0.0900000000000034,0,0
"13423",24,21,18,16,0.162936890133577,0.0499999999999972,0,0
"382",15,23,15,24,0.162937495386377,0.0600000000000005,0,0
"1705",16,20,18,22,0.162940363036435,0.0599999999999987,0,0
"7660",20,24,16,17,0.162946247185858,0.0600000000000023,0,0
"9087",21,18,16,22,0.162955280066036,0.039999999999992,0,0
"383",15,24,NA,NA,0.162955334391142,0.02,0,0
"4767",18,19,24,20,0.162968079648986,0.0800000000000054,0,0
"7661",20,24,20,16,0.162969893373281,0.0600000000000023,0,0
"10377",22,23,18,19,0.162970680753075,0.0600000000000023,0,0
"384",15,20,15,23,0.162978748864668,0.0300000000000002,0,0
"4768",18,16,25,17,0.162981903099609,0.0599999999999952,0,0
"385",15,25,16,17,0.162991793576552,0.0600000000000005,0,0
"12035",23,25,25,22,0.162994351406722,0.100000000000009,0,0
"7662",20,17,25,20,0.162997162929311,0.0599999999999881,0,0
"3331",17,17,19,15,0.163000069567779,0.0499999999999972,0,0
"3332",17,17,18,24,0.16300225210313,0.0700000000000003,0,0
"4769",18,16,17,21,0.163005364096907,0.0599999999999952,0,0
"386",15,17,22,24,0.163005630828524,0.0499999999999998,0,0
"6288",19,20,22,16,0.163006486671511,0.0300000000000011,0,0
"387",15,22,23,25,0.163010650126331,0.0800000000000001,0,0
"1706",16,19,23,24,0.163015585026884,0.0700000000000003,0,0
"9088",21,21,17,24,0.163015632416872,0.0600000000000023,0,0
"7663",20,19,17,22,0.163015759267381,0.0600000000000023,0,0
"7664",20,21,20,25,0.163022613729243,0.0699999999999932,0,0
"7665",20,22,23,22,0.163027268140183,0.0499999999999972,0,0
"6289",19,24,23,23,0.163027576828705,0.0900000000000034,0,0
"10378",22,25,18,21,0.163035104389701,0.0799999999999983,0,0
"6290",19,25,25,24,0.163037259397723,0.0900000000000034,0,0
"1707",16,23,22,25,0.163040716772448,0.0799999999999983,0,0
"1708",16,22,22,18,0.163042431927125,0.0700000000000003,0,0
"1709",16,23,25,23,0.163043204536954,0.0800000000000018,0,0
"9089",21,18,22,22,0.163045013725618,0.0699999999999932,0,0
"1710",16,16,25,25,0.163057132962966,0.0600000000000005,0,0
"12036",23,16,18,NA,0.163086499550012,0.0300000000000002,0,0
"13424",24,25,22,16,0.163087882795762,0.0799999999999983,0,0
"14845",25,24,20,21,0.163096991665618,0.0799999999999841,0,0
"10379",22,17,18,25,0.163098654070156,0.0600000000000023,0,0
