"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time","Reutilized"
4,5,5,6,0.679099211056623,0.01,0,0
4,5,5,7,0.664377952684754,0.01,0,0
4,5,5,8,0.662784715534931,0.02,0,0
4,5,5,9,0.649522702532656,0.02,0,0
4,5,5,10,0.661847076805235,0.01,0,0
4,5,5,11,0.646360698086475,0.02,0,0
4,5,5,12,0.660466712682713,0.01,0,0
4,5,5,13,0.702433322282513,0.03,0,0
4,5,5,14,0.681632384291162,0.01,0,0
4,5,6,4,0.694739068811595,0.03,0,0
4,5,6,5,0.643124945653059,0.01,0,0
4,5,6,6,0.661916153032371,0,0,0
4,5,6,7,0.671429398005176,0.02,0,0
4,5,6,8,0.66885543753029,0,0,0
4,5,6,9,0.638791869353144,0.0199999999999999,0,0
4,5,6,10,0.658181240411536,0.02,0,0
4,5,6,11,0.669670315804285,0.01,0,0
4,5,6,12,0.685390233401102,0.0199999999999999,0,0
4,5,6,13,0.644998749059024,0.03,0,0
4,5,6,14,0.769989389435301,0.02,0,0
4,5,7,4,0.650887138936632,0.02,0,0
4,5,7,5,0.652346588545678,0.02,0,0
4,5,7,6,0.680963567720073,0.01,0,0
4,5,7,7,0.674959188453278,0,0,0
4,5,7,8,0.678968822639756,0.02,0,0
4,5,7,9,0.672231507065827,0.01,0,0
4,5,7,10,0.624365687339427,0.01,0,0
4,5,7,11,0.650597676849065,0.02,0,0
4,5,7,12,0.57864590015381,0.0399999999999998,0,0
4,5,7,13,0.652369846388735,0.01,0,0
4,5,7,14,0.645589887677922,0.02,0,0
4,5,8,4,0.635699638974062,0.01,0,0
4,5,8,5,0.656310590253948,0.02,0,0
4,5,8,6,0.657046027457782,0.02,0,0
4,5,8,7,0.655100306032671,0.02,0,0
4,5,8,8,0.638829487526045,0.0299999999999998,0,0
4,5,8,9,0.697668898664361,0.02,0,0
4,5,8,10,0.588093615685215,0.01,0,0
4,5,8,11,0.639311934633597,0.02,0,0
4,5,8,12,0.58719871644319,0.0299999999999998,0,0
4,5,8,13,0.646223054533127,0.03,0,0
