"Layer 1","Layer 2","Layer 3","Layer 4","MSE","User Time","CPU Time"
67,69,73,72,35.1021917589328,3.98,0
67,69,73,73,34.8348297907354,4.07,0
67,70,67,67,33.8265191716311,3.16,0
67,70,67,68,38.813346285331,3.52,0
67,70,67,69,36.0341635827345,3.66,0.01
67,70,67,70,35.4484252640203,3.68,0
67,70,67,71,38.175027547081,3.65,0
67,70,67,72,37.5806866654477,3.61,0
67,70,67,73,42.6098675129811,3.73,0
67,70,68,67,34.1928778685495,3.66,0
67,70,68,68,33.7335510205858,3.74,0
67,70,68,69,41.3796418950567,3.8,0
67,70,68,70,35.7798426900932,3.55,0.02
67,70,68,71,35.293356618705,3.81,0
67,70,68,72,38.389285440131,3.79,0
67,70,68,73,41.3171573083148,3.65,0
67,70,69,67,36.9415082910444,3.35,0
67,70,69,68,38.7415492836968,3.27,0
67,70,69,69,37.6507473747314,3.52,0.00999999999999995
67,70,69,70,40.6697394086759,3.48,0
67,70,69,71,37.7032230587084,4.09,0
67,70,69,72,37.442940049264,3.88,0
67,70,69,73,43.7248931615496,3.89,0
67,70,70,67,37.704466068404,3.72,0
67,70,70,68,38.9849580072739,3.97,0
67,70,70,69,41.3625499694631,3.78,0
67,70,70,70,36.589046084952,3.85,0.02
67,70,70,71,41.1635232124682,3.95,0
67,70,70,72,37.4515516117608,3.86000000000001,0
67,70,70,73,35.5852130970996,3.79,0
67,70,71,67,33.6184216818442,3.69,0.02
67,70,71,68,37.2685297732067,4.3,0
67,70,71,69,42.4854174931713,4.08000000000001,0
67,70,71,70,38.2103440215967,4.06,0
67,70,71,71,35.5649205493625,4.02,0.00999999999999995
67,70,71,72,36.1640745701764,4.07,0
67,70,71,73,35.3565798443395,3.89,0
67,70,72,67,40.8396716308172,4.06,0.02
67,70,72,68,39.770629529297,3.92000000000001,0.03
67,70,72,69,40.7370530909078,4.00000000000001,0
67,70,72,70,39.3597342674646,3.86,0
67,70,72,71,38.6843899746431,3.87,0
67,70,72,72,36.4381023078879,4.18000000000001,0
67,70,72,73,38.3381836148659,4.27999999999999,0
67,70,73,67,36.0002787010628,4.11,0
