"1st layer","2nd layer","3rd layer","4th layer","MSE","User Time","CPU Time"
8,7,9,9,0.316455676062904,0.02,0
8,7,9,10,0.312284862936484,0.01,0
8,7,9,11,0.322109049878952,0.02,0
8,7,9,12,0.321696708407017,0.04,0
8,7,9,13,0.459658456560964,0.02,0
8,7,10,7,0.354163611283611,0.0100000000000002,0
8,7,10,8,0.33043459878723,0.02,0
8,7,10,9,0.379765485577252,0.0299999999999998,0
8,7,10,10,0.3422064003022,0.0299999999999998,0
8,7,10,11,0.352465473961539,0.00999999999999979,0
8,7,10,12,0.326096589747729,0.02,0
8,7,10,13,0.347445307088857,0,0
8,7,11,7,0.322095495958091,0.02,0
8,7,11,8,0.339785874325113,0,0
8,7,11,9,0.375213972914533,0.02,0
8,7,11,10,0.322302865702307,0.02,0
8,7,11,11,0.401607922908367,0.02,0
8,7,11,12,0.47875393926295,0.02,0
8,7,11,13,0.362308096357929,0.02,0
8,7,12,7,0.268986239236152,0.00999999999999979,0
8,7,12,8,0.329519074278001,0.0100000000000002,0
8,7,12,9,0.348381364444334,0.0100000000000002,0
8,7,12,10,0.441096582369874,0.02,0
8,7,12,11,0.49010713505837,0.0299999999999998,0
8,7,12,12,0.369389833612152,0.02,0
8,7,12,13,0.315680582963042,0.00999999999999979,0
8,7,13,7,0.420427291805882,0.02,0
8,7,13,8,0.353101381318747,0,0
8,7,13,9,0.409220860062124,0.00999999999999979,0
8,7,13,10,0.351102261583532,0.0300000000000002,0
8,7,13,11,0.363127896439187,0.0299999999999998,0
8,7,13,12,0.37616304823975,0.00999999999999979,0
8,7,13,13,0.3027523136128,0.00999999999999979,0
8,8,7,7,0.433309788197539,0.02,0
8,8,7,8,0.408172868422497,0.02,0
8,8,7,9,0.34844802480206,0.00999999999999979,0
8,8,7,10,0.278742061353569,0.02,0
8,8,7,11,0.375501183997902,0.0299999999999998,0
8,8,7,12,0.2999936033587,0.00999999999999979,0
8,8,7,13,0.372600977048699,0,0
8,8,8,7,0.350903228764965,0.00999999999999979,0
8,8,8,8,0.317848932435157,0,0
8,8,8,9,0.302826841174819,0.0100000000000002,0
8,8,8,10,0.279587644518984,0.02,0
8,8,8,11,0.370034325368459,0.02,0
8,8,8,12,0.322177428781413,0.02,0
8,8,8,13,0.305897484802951,0.02,0
8,8,9,7,0.340940334633102,0.02,0
8,8,9,8,0.35121976013305,0.02,0
8,8,9,9,0.29009933725574,0.02,0
8,8,9,10,0.306834403578031,0.0100000000000002,0
8,8,9,11,0.332641536561672,0.00999999999999979,0
8,8,9,12,0.41612274157773,0.02,0
8,8,9,13,0.299192700785978,0.02,0
8,8,10,7,0.341638868442245,0.02,0
8,8,10,8,0.345418464262487,0.00999999999999979,0
8,8,10,9,0.34549601695508,0.00999999999999979,0
8,8,10,10,0.376124925968246,0.02,0
8,8,10,11,0.418892121234937,0.02,0
8,8,10,12,0.350462604492433,0,0
8,8,10,13,0.310961161971788,0,0
8,8,11,7,0.362541056455224,0.0100000000000002,0
8,8,11,8,0.352280398472119,0.02,0
8,8,11,9,0.351140184475484,0.00999999999999979,0
8,8,11,10,0.322838783082967,0.0100000000000002,0
8,8,11,11,0.3295014600248,0.02,0
8,8,11,12,0.35156542158339,0.00999999999999979,0
8,8,11,13,0.331549763586892,0.0300000000000002,0
8,8,12,7,0.283241657845876,0.0100000000000002,0
8,8,12,8,0.361320252330379,0.0100000000000002,0
8,8,12,9,0.407676802932089,0.02,0
8,8,12,10,0.39455819313987,0.02,0
8,8,12,11,0.302834466539073,0.00999999999999979,0
8,8,12,12,0.313371628823054,0.0299999999999998,0
8,8,12,13,0.315037864148784,0.00999999999999979,0
8,8,13,7,0.296847877615178,0.02,0
8,8,13,8,0.400936366107584,0.02,0
8,8,13,9,0.314654397256089,0.02,0
8,8,13,10,0.348768079969982,0.02,0
8,8,13,11,0.344587870730088,0.00999999999999979,0
8,8,13,12,0.306881423381263,0,0
8,8,13,13,0.350776685263876,0.02,0
8,9,7,7,0.320864200174085,0.02,0
8,9,7,8,0.375254267177149,0,0
8,9,7,9,0.364545315147211,0.02,0
8,9,7,10,0.34706134166322,0.0100000000000002,0
8,9,7,11,0.45801418282301,0,0
8,9,7,12,0.328810599191341,0.04,0
8,9,7,13,0.359403831148385,0.0100000000000002,0
8,9,8,7,0.358812421099455,0.02,0
8,9,8,8,0.320492493920219,0.00999999999999979,0
8,9,8,9,0.357190528293503,0.00999999999999979,0
8,9,8,10,0.338399896123791,0.02,0
8,9,8,11,0.412908289027831,0.00999999999999979,0
8,9,8,12,0.384088225307079,0.0100000000000002,0
8,9,8,13,0.326083610220135,0.0100000000000002,0
8,9,9,7,0.368304904678764,0.02,0
8,9,9,8,0.328745007421773,0.02,0
8,9,9,9,0.354831431562355,0.02,0
8,9,9,10,0.338757102045291,0.0299999999999998,0
8,9,9,11,0.374789737501808,0.02,0
8,9,9,12,0.32882225643435,0.00999999999999979,0
8,9,9,13,0.35817542502048,0.00999999999999979,0
8,9,10,7,0.34916779449134,0.02,0
8,9,10,8,0.320798380399163,0.02,0
8,9,10,9,0.322436117595777,0.0100000000000002,0
8,9,10,10,0.370241712411707,0.0300000000000002,0
8,9,10,11,0.325686737329284,0.00999999999999979,0
8,9,10,12,0.393801075418659,0.00999999999999979,0
8,9,10,13,0.343796982598934,0.0300000000000002,0
8,9,11,7,0.365375478452098,0.00999999999999979,0
8,9,11,8,0.339115805450848,0.02,0
8,9,11,9,0.344917172592664,0.0100000000000002,0
8,9,11,10,0.340917856289029,0.00999999999999979,0
8,9,11,11,0.331980794315408,0.02,0
8,9,11,12,0.33332387742228,0.0300000000000002,0
8,9,11,13,0.35715050725197,0.04,0
8,9,12,7,0.493765177939553,0.02,0
8,9,12,8,0.380026832539212,0.00999999999999979,0
8,9,12,9,0.346489748601771,0.00999999999999979,0
8,9,12,10,0.345228511896902,0.02,0
8,9,12,11,0.327563945453684,0.00999999999999979,0
8,9,12,12,0.389932700440528,0.02,0
8,9,12,13,0.432682112304953,0.02,0
8,9,13,7,0.342149879917963,0,0
8,9,13,8,0.342538711293264,0.02,0
8,9,13,9,0.307155027737728,0.02,0
8,9,13,10,0.362062465929446,0.02,0
8,9,13,11,0.3367800091473,0.02,0
8,9,13,12,0.336281913053507,0.02,0
8,9,13,13,0.316300143380831,0.0100000000000002,0
8,10,7,7,0.335811544079127,0.00999999999999979,0
8,10,7,8,0.344991749874415,0.00999999999999979,0
8,10,7,9,0.397929857967018,0.0100000000000002,0
8,10,7,10,0.359516889034019,0.00999999999999979,0
8,10,7,11,0.353743835943516,0.02,0
8,10,7,12,0.314596788862554,0.02,0
8,10,7,13,0.363922970221153,0.00999999999999979,0
8,10,8,7,0.336363150831908,0.02,0
8,10,8,8,0.336852468261778,0.02,0
8,10,8,9,0.289731394102451,0.02,0
8,10,8,10,0.337632863576127,0,0
8,10,8,11,0.285073467223099,0.02,0
8,10,8,12,0.444540925350349,0.0299999999999998,0
8,10,8,13,0.367335350952304,0.00999999999999979,0
8,10,9,7,0.324722090088369,0.02,0
8,10,9,8,0.380573639902317,0.02,0
8,10,9,9,0.337074211046136,0.02,0
8,10,9,10,0.384086094367858,0.00999999999999979,0
8,10,9,11,0.35348608666505,0.00999999999999979,0
8,10,9,12,0.354139746665355,0.02,0
8,10,9,13,0.378779803975534,0.00999999999999979,0
8,10,10,7,0.350018672289302,0.02,0
8,10,10,8,0.355622029975352,0,0
8,10,10,9,0.357372346953721,0.00999999999999979,0
8,10,10,10,0.372077319913117,0,0
8,10,10,11,0.348412857634432,0.0300000000000002,0
8,10,10,12,0.336039925050981,0.02,0
8,10,10,13,0.341231278881997,0.02,0
8,10,11,7,0.350990169748937,0,0
8,10,11,8,0.353792015975635,0.00999999999999979,0
8,10,11,9,0.331806203427085,0.00999999999999979,0
8,10,11,10,0.300855231703623,0.02,0
8,10,11,11,0.362037462807534,0.02,0
8,10,11,12,0.347832240135675,0.00999999999999979,0
8,10,11,13,0.343727129027264,0.02,0
8,10,12,7,0.340993757381711,0.02,0
8,10,12,8,0.346354897185541,0.02,0
8,10,12,9,0.325627054345763,0.02,0
8,10,12,10,0.376606156977702,0.02,0
8,10,12,11,0.327916364575217,0.00999999999999979,0
8,10,12,12,0.455042167796392,0.0299999999999998,0
8,10,12,13,0.341916326171113,0.0299999999999998,0
8,10,13,7,0.348176963684083,0,0
8,10,13,8,0.326052170248477,0.02,0
8,10,13,9,0.383072480193388,0.02,0
8,10,13,10,0.421055658300135,0.0100000000000002,0
8,10,13,11,0.400200331771728,0.0100000000000002,0
8,10,13,12,0.355909152715356,0.0300000000000002,0
8,10,13,13,0.421966683775617,0.00999999999999979,0
8,11,7,7,0.345880211069925,0,0
8,11,7,8,0.347015472645479,0.0100000000000002,0
8,11,7,9,0.344109179920977,0.02,0
8,11,7,10,0.390328030850108,0,0
8,11,7,11,0.37487339420555,0.02,0
8,11,7,12,0.356086439379082,0.0299999999999998,0
8,11,7,13,0.312608080157997,0.0300000000000002,0
8,11,8,7,0.342670947102241,0.02,0
8,11,8,8,0.309793318901364,0.02,0
8,11,8,9,0.345500273190273,0.00999999999999979,0
8,11,8,10,0.318930633634317,0.00999999999999979,0
8,11,8,11,0.370980053330666,0.0300000000000002,0
8,11,8,12,0.365507061673883,0.02,0
8,11,8,13,0.355019859897758,0.0300000000000002,0
8,11,9,7,0.34167647715702,0.0100000000000002,0
8,11,9,8,0.323600512034541,0.00999999999999979,0
8,11,9,9,0.368423152569819,0.0299999999999998,0
8,11,9,10,0.417384233888274,0.00999999999999979,0
8,11,9,11,0.3761771488719,0.0299999999999998,0
8,11,9,12,0.355628003652689,0.00999999999999979,0
8,11,9,13,0.401260071890332,0.00999999999999979,0
8,11,10,7,0.435357664905778,0.02,0
8,11,10,8,0.381374233362025,0.0100000000000002,0
8,11,10,9,0.329257244104977,0.02,0
8,11,10,10,0.348581197869564,0.02,0
8,11,10,11,0.394829576771337,0.02,0
8,11,10,12,0.29390154292777,0.02,0
8,11,10,13,0.331851461275212,0.02,0
8,11,11,7,0.33160992712246,0.00999999999999979,0
8,11,11,8,0.331536692057555,0.0100000000000002,0
8,11,11,9,0.318643372480229,0.02,0
8,11,11,10,0.277883526313367,0.00999999999999979,0
8,11,11,11,0.353882515168341,0.02,0
8,11,11,12,0.425862520388817,0.02,0
8,11,11,13,0.334813932488377,0.02,0
8,11,12,7,0.323606932545391,0.02,0
8,11,12,8,0.378251905945823,0,0
8,11,12,9,0.346848386601722,0.02,0
8,11,12,10,0.324729643623144,0.04,0
8,11,12,11,0.333851243896845,0.0299999999999998,0
8,11,12,12,0.307992566443811,0.02,0
8,11,12,13,0.450216154123304,0.0100000000000002,0
8,11,13,7,0.33063222248607,0.02,0
8,11,13,8,0.343507637235746,0.02,0
8,11,13,9,0.3162945832554,0.02,0
8,11,13,10,0.304130710751821,0.02,0
8,11,13,11,0.358228730386425,0.02,0
8,11,13,12,0.317931089160589,0.00999999999999979,0
8,11,13,13,0.352084526874232,0.00999999999999979,0
8,12,7,7,0.347818669721714,0.02,0
8,12,7,8,0.390164654638097,0.02,0
8,12,7,9,0.276279809404105,0.02,0
8,12,7,10,0.348056857206827,0.02,0
8,12,7,11,0.309231063355897,0.02,0
8,12,7,12,0.338439631483401,0.00999999999999979,0
8,12,7,13,0.372301579017746,0.0100000000000002,0
8,12,8,7,0.280320244162072,0.02,0
8,12,8,8,0.346072803264972,0.02,0
8,12,8,9,0.33306305256124,0.0299999999999998,0
8,12,8,10,0.37347192300427,0.02,0
